date,station,pm25,pm10,no2,o3,aqi,so2,co
2024-02-11,Kurla,61.7,84.3,32.9,37.4,65.8,,
2024-02-11,Powai,56.6,83.4,28.1,38.2,57.2,,
2024-02-12,Bandra,78.3,102.8,24.1,32.4,78.3,,
2024-02-12,Colaba,79.0,94.1,4.6,51.2,79.0,,
2024-02-12,Kurla,32.8,52.0,8.8,38.8,58.2,,
2024-02-12,Powai,71.6,115.7,20.0,41.2,71.6,,
2024-03-01,Bandra,57.3,87.5,18.7,47.8,71.7,,
2024-03-01,Colaba,50.6,86.0,21.3,34.4,51.6,,
2024-03-01,Kurla,47.9,75.6,11.9,35.3,52.9,,
2024-03-01,Powai,69.7,110.5,18.0,44.2,69.7,,
2024-03-02,Bandra,72.4,123.0,25.2,31.3,72.4,,
2024-03-02,Colaba,38.8,73.5,17.6,58.6,87.9,,
2024-03-02,Kurla,66.3,93.0,24.3,33.6,66.3,,
2024-03-02,Powai,83.6,125.0,13.9,49.2,83.6,,
2024-03-03,Bandra,16.5,55.0,20.7,38.9,58.4,,
2024-03-03,Colaba,95.3,129.4,14.9,51.0,95.3,,
2024-03-03,Kurla,30.7,55.7,32.8,46.2,69.3,,
2024-03-03,Powai,76.3,107.6,23.2,56.7,85.0,,
2024-03-04,Bandra,37.1,68.2,24.7,37.5,56.3,,
2024-03-04,Colaba,89.0,128.6,42.2,30.8,89.0,,
2024-03-04,Kurla,66.8,87.4,26.7,27.7,66.8,,
2024-03-04,Powai,40.1,72.6,15.5,37.0,55.5,,
2024-03-05,Bandra,17.3,78.7,33.4,42.7,66.9,,
2024-03-05,Colaba,61.5,82.9,37.2,46.5,74.4,,
2024-03-05,Kurla,47.9,77.1,28.4,45.0,67.5,,
2024-03-05,Powai,72.6,97.9,18.8,59.3,89.0,,
2024-03-06,Bandra,60.0,96.0,13.4,12.4,60.0,,
2024-03-06,Colaba,62.2,99.4,28.8,42.7,64.0,,
2024-03-06,Kurla,87.5,120.7,30.5,57.6,87.5,,
2024-03-06,Powai,45.3,73.9,37.8,48.8,75.6,,
2024-03-07,Bandra,96.1,124.2,30.8,24.5,96.1,,
2024-03-07,Colaba,65.1,104.9,38.3,52.2,78.3,,
2024-03-07,Kurla,83.9,101.3,30.9,47.1,83.9,,
2024-03-07,Powai,63.0,94.0,28.5,50.1,75.2,,
2024-03-08,Bandra,59.9,96.6,16.3,35.4,59.9,,
2024-03-08,Colaba,64.1,78.9,37.4,61.6,92.3,,
2024-03-08,Kurla,63.6,106.7,29.7,35.1,63.6,,
2024-03-08,Powai,50.7,65.8,18.5,26.4,50.7,,
2024-03-09,Bandra,44.3,67.4,17.7,30.0,45.0,,
2024-03-09,Colaba,59.9,78.3,37.0,50.5,75.8,,
2024-03-09,Kurla,80.2,101.7,13.0,38.9,80.2,,
2024-03-09,Powai,111.4,118.9,29.9,33.3,111.4,,
2024-03-10,Bandra,77.2,104.8,25.3,22.6,77.2,,
2024-03-10,Colaba,82.2,101.8,29.9,27.4,82.2,,
2024-03-10,Kurla,37.0,38.6,18.5,51.5,77.2,,
2024-03-10,Powai,57.4,80.9,7.4,59.2,88.8,,
2024-03-11,Bandra,59.2,87.9,27.7,57.2,85.8,,
2024-03-11,Colaba,79.3,131.4,20.5,23.6,79.3,,
2024-03-11,Kurla,70.5,95.8,19.8,41.0,70.5,,
2024-03-11,Powai,53.6,65.8,17.5,45.7,68.6,,
2024-03-12,Bandra,94.8,121.6,39.7,49.8,94.8,,
2024-03-12,Colaba,32.7,60.4,15.6,18.4,32.7,,
2024-03-12,Kurla,48.0,68.4,24.5,44.4,66.6,,
2024-03-12,Powai,66.8,86.8,25.2,22.4,66.8,,
2024-04-01,Bandra,57.6,91.8,17.9,34.8,57.6,,
2024-04-01,Colaba,64.8,75.7,11.2,33.3,64.8,,
2024-04-01,Kurla,79.9,105.3,30.1,37.7,79.9,,
2024-04-01,Powai,57.5,96.0,24.1,35.4,57.5,,
2024-04-02,Bandra,56.3,100.1,19.8,30.4,56.3,,
2024-04-02,Colaba,44.3,71.1,31.5,25.2,63.0,,
2024-04-02,Kurla,29.7,62.9,39.0,40.2,78.1,,
2024-04-02,Powai,58.9,83.4,26.3,51.3,77.0,,
2024-04-03,Bandra,66.6,98.5,30.7,34.8,66.6,,
2024-04-03,Colaba,102.4,142.8,12.8,34.2,102.4,,
2024-04-03,Kurla,79.6,114.8,16.2,36.0,79.6,,
2024-04-03,Powai,72.7,118.9,13.9,39.6,72.7,,
2024-04-04,Bandra,57.4,68.6,20.6,41.1,61.7,,
2024-04-04,Colaba,77.4,109.3,42.5,30.3,85.0,,
2024-04-04,Kurla,82.0,122.6,29.3,44.3,82.0,,
2024-04-04,Powai,80.6,118.6,25.1,28.3,80.6,,
2024-04-05,Bandra,58.9,91.8,29.2,47.7,71.6,,
2024-04-05,Colaba,39.3,67.4,18.0,23.4,39.3,,
2024-04-05,Kurla,24.5,65.1,27.0,56.6,84.9,,
2024-04-05,Powai,64.5,100.9,18.4,25.4,64.5,,
2024-04-06,Bandra,49.0,66.8,20.9,38.2,57.3,,
2024-04-06,Colaba,44.2,78.9,40.1,56.1,84.2,,
2024-04-06,Kurla,37.8,67.4,20.7,21.2,41.5,,
2024-04-06,Powai,60.2,87.8,25.6,33.9,60.2,,
2024-04-07,Bandra,40.9,75.6,36.9,44.3,73.7,,
2024-04-07,Colaba,23.2,40.4,20.0,40.3,60.5,,
2024-04-07,Kurla,57.2,90.5,33.2,50.5,75.7,,
2024-04-07,Powai,67.9,102.4,12.3,40.6,67.9,,
2024-04-08,Bandra,73.9,112.4,22.6,39.1,73.9,,
2024-04-08,Colaba,47.7,73.9,27.3,44.0,66.0,,
2024-04-08,Kurla,65.1,92.7,25.1,36.1,65.1,,
2024-04-08,Powai,51.8,74.4,12.0,64.3,96.4,,
2024-04-09,Bandra,58.7,81.5,30.5,57.8,86.8,,
2024-04-09,Colaba,55.6,85.8,26.7,15.5,55.6,,
2024-04-09,Kurla,58.3,93.7,32.6,39.3,65.2,,
2024-04-09,Powai,48.3,72.1,17.7,60.2,90.3,,
2024-04-10,Bandra,54.0,83.5,46.0,26.7,91.9,,
2024-04-10,Colaba,47.5,96.7,23.5,42.6,63.9,,
2024-04-10,Kurla,70.3,98.1,24.8,31.7,70.3,,
2024-04-10,Powai,74.1,109.4,26.3,23.4,74.1,,
2024-04-11,Bandra,81.6,98.5,30.0,55.9,83.9,,
2024-04-11,Colaba,58.2,114.0,18.6,59.7,89.5,,
2024-04-11,Kurla,60.3,95.1,22.9,18.0,60.3,,
2024-04-11,Powai,94.3,123.3,27.6,51.4,94.3,,
2024-04-12,Bandra,69.6,103.3,28.2,16.9,69.6,,
2024-04-12,Colaba,70.8,108.4,20.4,8.9,70.8,,
2024-04-12,Kurla,101.9,116.7,34.3,51.7,101.9,,
2024-04-12,Powai,24.6,58.3,21.9,42.4,63.6,,
2024-05-01,Bandra,74.4,100.7,38.8,35.2,77.6,,
2024-05-01,Colaba,39.7,72.9,17.7,23.1,39.7,,
2024-05-01,Kurla,66.5,85.0,25.7,4.1,66.5,,
2024-05-01,Powai,70.8,109.6,19.7,39.3,70.8,,
2024-05-02,Bandra,50.3,70.8,26.0,59.5,89.2,,
2024-05-02,Colaba,64.5,107.6,12.1,42.2,64.5,,
2024-05-02,Kurla,64.5,101.4,14.8,60.4,90.6,,
2024-05-02,Powai,70.0,91.2,30.9,32.3,70.0,,
2024-05-03,Bandra,70.3,97.7,30.9,47.4,71.1,,
2024-05-03,Colaba,85.3,108.3,28.6,49.3,85.3,,
2024-05-03,Kurla,44.4,87.7,15.4,50.7,76.1,,
2024-05-03,Powai,27.7,55.4,23.0,47.5,71.3,,
2024-05-04,Bandra,63.2,82.9,35.1,29.6,70.3,,
2024-05-04,Colaba,43.2,67.2,8.0,33.7,50.5,,
2024-05-04,Kurla,95.2,125.2,15.5,45.4,95.2,,
2024-05-04,Powai,72.9,103.1,6.4,49.4,74.1,,
2024-05-05,Bandra,71.1,102.0,23.4,38.2,71.1,,
2024-05-05,Colaba,78.5,127.6,13.8,46.8,78.5,,
2024-05-05,Kurla,68.9,109.9,28.7,56.2,84.2,,
2024-05-05,Powai,48.6,77.4,16.5,39.9,59.8,,
2024-05-06,Bandra,50.9,95.5,27.6,43.6,65.4,,
2024-05-06,Colaba,91.9,116.8,17.1,38.5,91.9,,
2024-05-06,Kurla,66.9,122.0,10.3,39.6,66.9,,
2024-05-06,Powai,17.9,68.3,26.2,44.8,67.2,,
2024-05-07,Bandra,53.7,83.7,15.0,47.3,70.9,,
2024-05-07,Colaba,70.4,93.1,26.5,30.9,70.4,,
2024-05-07,Kurla,37.1,75.3,24.5,40.9,61.3,,
2024-05-07,Powai,69.6,106.9,19.5,32.1,69.6,,
2024-05-08,Bandra,29.6,56.1,32.1,46.9,70.4,,
2024-05-08,Colaba,73.2,123.3,23.6,30.4,73.2,,
2024-05-08,Kurla,56.7,88.8,17.1,27.8,56.7,,
2024-05-08,Powai,85.1,107.3,27.2,45.0,85.1,,
2024-05-09,Bandra,48.4,80.8,29.0,45.7,68.5,,
2024-05-09,Colaba,55.1,78.2,17.0,36.6,55.1,,
2024-05-09,Kurla,97.1,129.4,22.2,20.7,97.1,,
2024-05-09,Powai,76.8,107.1,35.8,21.8,76.8,,
2024-05-10,Bandra,89.3,129.3,27.2,61.1,91.7,,
2024-05-10,Colaba,77.4,112.4,26.2,44.4,77.4,,
2024-05-10,Kurla,64.1,101.8,12.1,43.6,65.4,,
2024-05-10,Powai,50.3,88.7,16.6,9.6,50.3,,
2024-05-11,Bandra,67.7,108.6,41.1,52.3,82.2,,
2024-05-11,Colaba,93.6,118.0,29.6,59.5,93.6,,
2024-05-11,Kurla,51.3,89.3,22.6,37.0,55.6,,
2024-05-11,Powai,43.8,77.5,19.1,50.4,75.6,,
2024-05-12,Bandra,54.4,92.9,24.6,23.1,54.4,,
2024-05-12,Colaba,49.1,83.0,13.2,42.2,63.3,,
2024-05-12,Kurla,44.4,76.5,21.3,42.2,63.3,,
2024-05-12,Powai,59.6,79.9,24.6,25.2,59.6,,
2024-06-01,Bandra,64.5,103.8,13.7,18.9,64.5,,
2024-06-01,Colaba,89.3,117.1,25.5,22.9,89.3,,
2024-06-01,Kurla,56.3,70.0,34.6,49.3,74.0,,
2024-06-01,Powai,38.8,43.9,26.6,47.3,71.0,,
2024-06-02,Bandra,66.5,93.9,22.7,21.2,66.5,,
2024-06-02,Colaba,65.2,103.0,15.1,24.2,65.2,,
2024-06-02,Kurla,64.0,110.4,19.1,61.8,92.7,,
2024-06-02,Powai,64.3,91.3,23.2,49.2,73.8,,
2024-06-03,Bandra,41.3,82.2,20.7,49.7,74.5,,
2024-06-03,Colaba,41.5,70.9,,27.7,41.6,,
2024-06-03,Kurla,77.9,126.2,21.7,48.5,77.9,,
2024-06-03,Powai,60.9,97.1,30.6,65.9,98.8,,
2024-06-04,Bandra,79.4,113.7,19.8,61.3,92.0,,
2024-06-04,Colaba,44.8,76.3,27.7,62.5,93.8,,
2024-06-04,Kurla,101.7,121.6,22.1,45.0,101.7,,
2024-06-04,Powai,59.5,101.5,16.2,1.9,59.5,,
2024-06-05,Bandra,56.1,97.4,29.7,4.7,59.5,,
2024-06-05,Colaba,47.0,72.1,20.3,29.6,47.0,,
2024-06-05,Kurla,70.4,99.5,43.2,50.7,86.4,,
2024-06-05,Powai,26.2,45.0,30.4,47.2,70.9,,
2024-06-06,Bandra,72.4,91.1,33.3,39.1,72.4,,
2024-06-06,Colaba,61.1,102.1,11.5,58.4,87.5,,
2024-06-06,Kurla,72.8,104.0,24.1,24.4,72.8,,
2024-06-06,Powai,58.8,81.5,23.5,20.8,58.8,,
2024-06-07,Bandra,77.6,103.1,21.2,43.2,77.6,,
2024-06-07,Colaba,47.8,63.7,17.6,23.8,47.8,,
2024-06-07,Kurla,61.5,90.0,34.5,39.0,69.1,,
2024-06-07,Powai,48.5,83.9,33.3,35.1,66.5,,
2024-06-08,Bandra,70.0,100.5,25.1,32.1,70.0,,
2024-06-08,Colaba,32.4,55.1,24.7,61.5,92.3,,
2024-06-08,Kurla,32.2,46.2,15.3,41.9,62.9,,
2024-06-08,Powai,83.8,105.6,33.7,33.4,83.8,,
2024-06-09,Bandra,61.5,98.9,28.9,25.1,61.5,,
2024-06-09,Colaba,96.0,132.4,20.4,46.9,96.0,,
2024-06-09,Kurla,54.7,81.4,32.7,45.5,68.3,,
2024-06-09,Powai,33.4,41.6,19.4,41.9,62.9,,
2024-06-10,Bandra,67.4,101.3,24.6,54.7,82.0,,
2024-06-10,Colaba,108.1,137.5,26.6,52.6,108.1,,
2024-06-10,Kurla,78.6,104.5,30.6,73.8,110.7,,
2024-06-10,Powai,55.5,84.0,26.1,48.7,73.1,,
2024-06-11,Bandra,65.0,105.4,26.2,40.3,65.0,,
2024-06-11,Colaba,52.4,80.4,20.3,27.8,52.4,,
2024-06-11,Kurla,79.7,102.6,12.7,38.1,79.7,,
2024-06-11,Powai,63.0,96.0,18.7,48.5,72.7,,
2024-06-12,Bandra,59.0,106.0,35.0,39.3,70.0,,
2024-06-12,Colaba,59.7,95.5,26.0,28.3,59.7,,
2024-06-12,Kurla,90.2,126.2,29.1,34.8,90.2,,
2024-06-12,Powai,87.8,104.3,23.4,27.5,87.8,,
2024-07-01,Bandra,29.5,72.1,20.6,70.7,106.0,,
2024-07-01,Colaba,49.1,80.2,15.8,44.5,66.8,,
2024-07-01,Kurla,69.3,114.5,17.4,61.0,91.5,,
2024-07-01,Powai,65.2,75.7,22.2,13.4,65.2,,
2024-07-02,Bandra,77.7,106.9,23.6,78.3,117.5,,
2024-07-02,Colaba,70.4,103.4,27.0,44.2,70.4,,
2024-07-02,Kurla,75.5,111.0,26.9,37.0,75.5,,
2024-07-02,Powai,39.2,88.6,10.4,32.8,49.2,,
2024-07-03,Bandra,67.3,115.7,23.2,35.8,67.3,,
2024-07-03,Colaba,54.9,72.5,38.1,22.8,76.1,,
2024-07-03,Kurla,105.6,129.5,12.7,17.4,105.6,,
2024-07-03,Powai,53.7,74.3,27.0,30.4,53.9,,
2024-07-04,Bandra,36.1,75.3,33.0,32.0,66.0,,
2024-07-04,Colaba,79.0,103.2,17.8,45.9,79.0,,
2024-07-04,Kurla,58.9,79.1,34.0,67.8,101.8,,
2024-07-04,Powai,65.6,98.5,11.5,28.3,65.6,,
2024-07-05,Bandra,73.1,105.1,24.9,35.3,73.1,,
2024-07-05,Colaba,61.0,82.7,27.2,39.4,61.0,,
2024-07-05,Kurla,71.5,88.7,14.7,43.5,71.5,,
2024-07-05,Powai,52.2,72.0,16.8,35.5,53.3,,
2024-07-06,Bandra,73.4,92.7,12.6,49.8,74.7,,
2024-07-06,Colaba,56.8,82.6,16.9,20.1,56.8,,
2024-07-06,Kurla,64.7,87.1,7.5,54.3,81.5,,
2024-07-06,Powai,105.5,123.2,16.7,34.7,105.5,,
2024-07-07,Bandra,51.3,80.6,41.8,37.0,83.6,,
2024-07-07,Colaba,40.5,81.0,17.4,71.6,107.4,,
2024-07-07,Kurla,37.6,63.7,26.4,54.8,82.1,,
2024-07-07,Powai,78.2,109.4,24.0,37.5,78.2,,
2024-07-08,Bandra,74.0,108.2,28.9,33.7,74.0,,
2024-07-08,Colaba,49.6,81.9,24.9,54.3,81.4,,
2024-07-08,Kurla,42.1,77.3,25.3,16.4,50.6,,
2024-07-08,Powai,33.3,70.5,35.3,71.1,106.6,,
2024-07-09,Bandra,77.4,116.3,18.9,40.5,77.4,,
2024-07-09,Colaba,88.0,127.2,25.5,32.2,88.0,,
2024-07-09,Kurla,36.4,68.1,30.4,58.3,87.5,,
2024-07-09,Powai,62.1,93.6,13.7,49.6,74.5,,
2024-07-10,Bandra,81.9,105.7,14.4,37.6,81.9,,
2024-07-10,Colaba,82.1,124.0,30.1,26.3,82.1,,
2024-07-10,Kurla,57.9,91.8,19.1,42.2,63.3,,
2024-07-10,Powai,72.8,105.3,34.6,21.8,72.8,,
2024-07-11,Bandra,53.0,98.6,18.5,58.4,87.6,,
2024-07-11,Colaba,47.0,64.8,25.3,30.8,50.5,,
2024-07-11,Kurla,50.3,70.7,23.6,45.9,68.8,,
2024-07-11,Powai,101.7,121.6,22.3,42.8,101.7,,
2024-07-12,Bandra,79.0,105.4,11.4,28.9,79.0,,
2024-07-12,Colaba,83.9,112.3,24.8,28.8,83.9,,
2024-07-12,Kurla,30.3,58.2,34.7,21.7,69.3,,
2024-07-12,Powai,71.4,98.1,20.9,50.2,75.4,,
2024-08-01,Bandra,48.7,80.6,37.3,64.1,96.1,,
2024-08-01,Colaba,48.0,75.1,20.2,62.2,93.3,,
2024-08-01,Kurla,78.6,106.3,34.1,26.7,78.6,,
2024-08-01,Powai,87.4,106.5,35.0,51.4,87.4,,
2024-08-02,Bandra,66.0,88.5,21.6,53.8,80.7,,
2024-08-02,Colaba,46.4,78.7,27.3,31.4,54.7,,
2024-08-02,Kurla,84.0,115.4,9.3,26.6,84.0,,
2024-08-02,Powai,67.4,103.2,24.2,39.3,67.4,,
2024-08-03,Bandra,59.6,86.6,31.4,20.6,62.8,,
2024-08-03,Colaba,51.2,82.5,36.5,22.8,73.1,,
2024-08-03,Kurla,74.3,85.4,22.0,45.2,74.3,,
2024-08-03,Powai,89.6,116.8,20.5,34.3,89.6,,
2024-08-04,Bandra,87.8,115.3,27.3,43.1,87.8,,
2024-08-04,Colaba,33.6,81.9,34.4,34.4,68.9,,
2024-08-04,Kurla,63.9,84.9,12.6,43.1,64.6,,
2024-08-04,Powai,115.1,142.0,30.8,32.2,115.1,,
2024-08-05,Bandra,82.5,122.0,18.8,44.9,82.5,,
2024-08-05,Colaba,55.2,76.1,20.4,49.1,73.6,,
2024-08-05,Kurla,62.9,86.8,26.1,59.1,88.6,,
2024-08-05,Powai,72.9,112.2,21.0,26.2,72.9,,
2024-08-06,Bandra,67.5,88.5,18.0,53.5,80.3,,
2024-08-06,Colaba,76.5,107.2,14.7,24.5,76.5,,
2024-08-06,Kurla,79.2,109.7,26.8,52.9,79.3,,
2024-08-06,Powai,85.8,115.9,15.1,55.1,85.8,,
2024-08-07,Bandra,52.8,76.4,31.0,37.8,61.9,,
2024-08-07,Colaba,69.9,101.7,18.1,48.4,72.6,,
2024-08-07,Kurla,72.1,93.6,44.9,43.2,89.8,,
2024-08-07,Powai,74.9,108.2,43.2,29.8,86.4,,
2024-08-08,Bandra,16.9,57.9,21.2,29.6,44.5,,
2024-08-08,Colaba,110.5,135.2,21.1,52.5,110.5,,
2024-08-08,Kurla,73.1,111.2,17.0,45.0,73.1,,
2024-08-08,Powai,36.0,73.0,21.7,49.4,74.1,,
2024-08-09,Bandra,73.7,101.6,33.6,68.4,102.5,,
2024-08-09,Colaba,74.0,107.9,32.2,47.6,74.0,,
2024-08-09,Kurla,77.8,115.4,25.5,44.7,77.8,,
2024-08-09,Powai,64.8,102.1,9.9,43.7,65.6,,
2024-08-10,Bandra,44.0,73.4,34.9,34.5,69.8,,
2024-08-10,Colaba,92.7,111.2,27.4,30.9,92.7,,
2024-08-10,Kurla,69.2,101.2,16.8,42.5,69.2,,
2024-08-10,Powai,70.1,106.4,15.1,22.0,70.1,,
2024-08-11,Bandra,70.0,86.0,27.9,14.8,70.0,,
2024-08-11,Colaba,64.7,79.1,27.6,50.0,75.0,,
2024-08-11,Kurla,59.8,92.9,39.5,35.9,79.0,,
2024-08-11,Powai,75.7,100.1,2.3,56.3,84.5,,
2024-08-12,Bandra,91.3,118.5,23.1,36.4,91.3,,
2024-08-12,Colaba,51.1,72.3,23.6,60.5,90.8,,
2024-08-12,Kurla,38.9,70.2,17.1,30.5,45.7,,
2024-08-12,Powai,60.6,95.8,17.1,23.1,60.6,,
2024-09-01,Bandra,101.2,143.3,33.2,47.1,101.2,,
2024-09-01,Colaba,59.7,79.2,31.6,25.3,63.2,,
2024-09-01,Kurla,43.5,67.4,20.8,27.3,43.5,,
2024-09-01,Powai,42.0,60.7,27.8,29.9,55.6,,
2024-09-02,Bandra,62.3,77.9,32.4,32.0,64.7,,
2024-09-02,Colaba,97.3,132.1,15.5,47.9,97.3,,
2024-09-02,Kurla,56.3,89.4,24.5,54.6,81.9,,
2024-09-02,Powai,68.2,95.9,36.1,50.1,75.1,,
2024-09-03,Bandra,38.9,58.2,32.6,60.5,90.8,,
2024-09-03,Colaba,83.3,113.4,17.1,45.5,83.3,,
2024-09-03,Kurla,63.7,98.0,26.8,55.3,83.0,,
2024-09-03,Powai,74.4,102.8,19.9,60.0,90.0,,
2024-09-04,Bandra,57.3,95.4,31.3,19.0,62.7,,
2024-09-04,Colaba,25.7,69.3,24.1,54.9,82.3,,
2024-09-04,Kurla,82.1,116.8,25.0,32.9,82.1,,
2024-09-04,Powai,18.2,46.5,22.9,35.2,52.8,,
2024-09-05,Bandra,40.6,56.8,20.0,50.3,75.5,,
2024-09-05,Colaba,70.0,90.2,25.8,49.0,73.5,,
2024-09-05,Kurla,73.9,92.5,24.1,30.3,73.9,,
2024-09-05,Powai,65.4,87.1,20.9,55.9,83.9,,
2024-09-06,Bandra,36.2,82.6,17.8,47.7,71.5,,
2024-09-06,Colaba,53.3,100.0,22.9,22.0,53.3,,
2024-09-06,Kurla,64.5,103.5,22.6,55.7,83.6,,
2024-09-06,Powai,74.6,110.0,30.7,68.7,103.1,,
2024-09-07,Bandra,47.0,90.2,36.4,32.8,72.7,,
2024-09-07,Colaba,48.5,79.7,45.5,38.8,91.0,,
2024-09-07,Kurla,85.5,114.0,29.3,50.1,85.5,,
2024-09-07,Powai,70.4,95.1,18.0,39.9,70.4,,
2024-09-08,Bandra,73.9,99.9,33.5,47.4,73.9,,
